t,s_q,s_a,p_q,p_a,U
0.8695652173913043,146.37231972985208,-0.6694035102746749,-8.119999281858009,0.2923199741468783,215.31789452077462
0.8862876254180602,146.2353525129233,-0.6644726904652385,-8.261165547280857,0.2974019597021007,214.04782913315876
0.903010033444816,146.09603048037022,-0.659457097293328,-8.401634305859439,0.30245883501092946,212.75978239049775
0.9197324414715718,145.95436535153314,-0.6543571526551932,-8.541398873391804,0.3074903594420944,211.45405924507315
0.9364548494983277,145.81036895685216,-0.6491732824466782,-8.680452616151289,0.31249629418143565,210.130967647846
0.9531772575250835,145.66405323698208,-0.6439059165313549,-8.818788951167852,0.3174764022420318,208.79081846923407
0.9698996655518394,145.51543024189982,-0.6385554887083935,-8.956401346505977,0.32243044847420416,207.43392541948253
0.9866220735785953,145.36451213000464,-0.6331224366801675,-9.093283321539145,0.32735819957539813,206.06060496865263
1.0033444816053512,145.21131116869043,-0.6276072020728558,-9.229428447449134,0.3322594241081577,204.67117627963916
1.020066889632107,145.05583973843923,-0.622010230583813,-9.364830348266409,0.33713389253757964,203.26596117240385
1.0367892976588629,144.89811032152969,-0.6163319715750697,-9.49948269953417,0.341981377183219,201.84528394865865
1.0535117056856187,144.73813550480114,-0.6105728781728416,-9.633379229138969,0.3468016522489918,200.4094713441854
1.0702341137123745,144.575927979496,-0.604733407261857,-9.7665137176882,0.3515944938367641,198.95885245415957
1.0869565217391304,144.41150054036459,-0.5988140194531267,-9.898879998771445,0.35635967995576096,197.49375865156037
1.1036789297658862,144.24486608476417,-0.5928151790515116,-10.030471959218652,0.3610969905318604,196.01452350533316
1.120401337792642,144.0760376117524,-0.5867373540230888,-10.161283539355146,0.3658062074167742,194.52148269832657
1.137123745819398,143.9050282211754,-0.5805810159623164,-10.291308733253478,0.3704871143971141,193.0149739450229
1.1538461538461537,143.73185111274984,-0.5743466400589965,-10.420541588982092,0.3751394972033442,191.49533690907845
1.1705685618729096,143.55651958513982,-0.5680347050650361,-10.548976208850837,0.3797631435186191,189.96291312069576
1.1872909698996654,143.37904703502792,-0.5616456932610072,-10.676606749653311,0.3843578429875082,188.41804589384458
1.2040133779264213,143.1994469561902,-0.555180090422849,-10.80342742290457,0.3889233872245535,186.86108024343386
1.220735785953177,143.01773294089287,-0.5486383858721453,-10.929432494721732,0.3934595698099713,185.29236282241763
1.237458193979933,142.83391867703196,-0.5420210723731532,-11.054616286348017,0.39796618630851766,183.71224182182303
1.254180602006689,142.64801794554475,-0.5353286460396143,-11.178973174631444,0.402443034286721,182.12106687348572
1.2709030100334449,142.46004462090607,-0.528561606352622,-11.30249759203029,0.40688991331307955,180.51918897937503
1.2876254180602007,142.27001267018662,-0.5217204561267218,-11.425184026833266,0.4113066249659867,178.9069604284332
1.3043478260869565,142.07793615210647,-0.5148057014758369,-11.547027023376383,0.41569297284153894,177.28473471339728
1.3210702341137124,141.88382921608377,-0.5078178517790191,-11.66802118225656,0.4200487625612253,175.6528664476216
1.3377926421404682,141.6877061012784,-0.5007574196460254,-11.788161160541925,0.42437380177949846,174.01171128191865
1.354515050167224,141.489581135631,-0.49362492088272036,-11.90744167197886,0.4286679001912282,172.36162582143896
1.37123745819398,141.2894687348972,-0.48642087445630355,-12.02585748719574,0.4329308695390359,170.70296754260738
1.3879598662207357,141.08738340167665,-0.47914580246036326,-12.143403433903401,0.4371625236205118,169.03609471013098
1.4046822742474916,140.88333972443752,-0.4718002300797548,-12.260074397092325,0.441362678295313,167.3613662941034
1.4214046822742474,140.67735237712068,-0.464384685576349,-12.37586531911599,0.4455311514881649,165.67914189197964
1.4381270903010033,140.46943612017324,-0.4568997003262418,-12.49077119949972,0.44966776318197926,163.98978166215934
1.4548494983277591,140.25960579540657,-0.44934580863464174,-12.604787095913155,0.45377233545286294,162.29364620745412
1.471571906354515,140.0478763264691,-0.44172354775289235,-12.717908124076722,0.45784469246675136,160.59109650483092
1.4882943143812708,139.83426271816325,-0.4340334578538821,-12.830129457882514,0.46188466048375987,158.88249382578948
1.5050167224080266,139.6187800554603,-0.42627608199657624,-12.941446329568091,0.46589206786444076,157.1681996545014
1.5217391304347825,139.40144350251092,-0.4184519660903985,-13.051854029886892,0.46986674507591764,155.44857560616651
1.5384615384615383,139.18226830165162,-0.41056165885946355,-13.161347908275204,0.47380852469789686,153.72398334560577
1.5551839464882942,138.96126977240706,-0.40260571180665994,-13.26992337301574,0.47771724142855615,151.9947845061073
1.57190635451505,138.73846331048827,-0.39458467917758344,-13.377575891397797,0.4815927320903103,150.26134060854426
1.5886287625418059,138.5138643867865,-0.3864991179243205,-13.484300989873995,0.4854348356354535,148.5240129807787
1.6053511705685617,138.28748854636325,-0.37834958766908316,-13.590094254213616,0.4892433931516798,146.78316267737247
1.6220735785953178,138.0593514074439,-0.37013665066798784,-13.694951329651541,0.49301824786744514,145.03915039968055
1.6387959866220736,137.82946866260892,-0.3618608718539278,-13.798867920775681,0.4967592451479142,143.29233643295967
1.6555183946488294,137.59785607598664,-0.3535228187355264,-13.901839791879286,0.500466232507644,141.54308055314434
